*band 1 us
36 14 13 14
36 12 12 12
36 12 12 12
36 12 12 12
40 14 13 14
40 12 12 12
40 12 12 12
40 12 12 12
44 14 13 14
44 12 12 12
44 12 12 12
44 12 12 12
48 14 13 14
48 12 12 12
48 12 12 12
48 12 12 12
*band 2 us
52 -1 -1 -1
52 -1 -1 -1
52 -1 -1 -1
52 -1 -1 -1
56 -1 -1 -1
56 -1 -1 -1
56 -1 -1 -1
56 -1 -1 -1
60 -1 -1 -1
60 -1 -1 -1
60 -1 -1 -1
60 -1 -1 -1
64 -1 -1 -1
64 -1 -1 -1
64 -1 -1 -1
64 -1 -1 -1
*band 3 us
100 -1 -1 -1
100 -1 -1 -1
100 -1 -1 -1
100 -1 -1 -1
104 -1 -1 -1
104 -1 -1 -1
104 -1 -1 -1
104 -1 -1 -1
108 -1 -1 -1
108 -1 -1 -1
108 -1 -1 -1
108 -1 -1 -1
112 -1 -1 -1
112 -1 -1 -1
112 -1 -1 -1
112 -1 -1 -1
116 -1 -1 -1
116 -1 -1 -1
116 -1 -1 -1
116 -1 -1 -1
132 -1 -1 -1
132 -1 -1 -1
132 -1 -1 -1
132 -1 -1 -1
136 -1 -1 -1
136 -1 -1 -1
136 -1 -1 -1
136 -1 -1 -1
140 -1 -1 -1
140 -1 -1 -1
140 -1 -1 -1
140 -1 -1 -1
*band 4 us
149 21 23 23
149 23 23 23
149 23 23 23
149 23 23 23
153 21 23 23
153 23 23 23
153 23 23 23
153 23 23 23
157 21 23 23
157 23 23 23
157 23 23 23
157 23 23 23
161 21 23 23
161 23 23 23
161 23 23 23
161 23 23 23
165 21 23 23
165 23 23 23
165 23 23 23
165 23 23 23
