*band 1 us
36 14 11 10
36 11 12 12
36 11 12 12
36 11 12 12
40 14 11 10
40 11 12 11
40 11 11 11
40 11 11 11
44 14 12 10
44 11 11 11
44 11 11 11
44 11 11 11
48 14 12 10
48 11 11 11
48 11 11 11
48 11 11 11
*band 2 us
52 -1 -1 -1
52 -1 -1 -1
52 -1 -1 -1
52 -1 -1 -1
56 -1 -1 -1
56 -1 -1 -1
56 -1 -1 -1
56 -1 -1 -1
60 -1 -1 -1
60 -1 -1 -1
60 -1 -1 -1
60 -1 -1 -1
64 -1 -1 -1
64 -1 -1 -1
64 -1 -1 -1
64 -1 -1 -1
*band 3 us
100 -1 -1 -1
100 -1 -1 -1
100 -1 -1 -1
100 -1 -1 -1
104 -1 -1 -1
104 -1 -1 -1
104 -1 -1 -1
104 -1 -1 -1
108 -1 -1 -1
108 -1 -1 -1
108 -1 -1 -1
108 -1 -1 -1
112 -1 -1 -1
112 -1 -1 -1
112 -1 -1 -1
112 -1 -1 -1
116 -1 -1 -1
116 -1 -1 -1
116 -1 -1 -1
116 -1 -1 -1
132 -1 -1 -1
132 -1 -1 -1
132 -1 -1 -1
132 -1 -1 -1
136 -1 -1 -1
136 -1 -1 -1
136 -1 -1 -1
136 -1 -1 -1
140 -1 -1 -1
140 -1 -1 -1
140 -1 -1 -1
140 -1 -1 -1
*band 4 us
149 21 23 23
149 23 23 23
149 23 23 23
149 23 23 23
153 21 23 23
153 23 23 23
153 23 23 23
153 23 23 23
157 21 23 23
157 23 23 23
157 23 23 23
157 23 23 23
161 21 23 23
161 23 23 23
161 23 23 23
161 23 23 23
165 21 23 23
165 23 23 23
165 23 23 23
165 23 23 23
