*band 1 us
36 -1 -1 -1
36 -1 -1 -1
36 -1 -1 -1
36 -1 -1 -1
40 -1 -1 -1
40 -1 -1 -1
40 -1 -1 -1
40 -1 -1 -1
44 -1 -1 -1
44 -1 -1 -1
44 -1 -1 -1
44 -1 -1 -1
48 -1 -1 -1
48 -1 -1 -1
48 -1 -1 -1
48 -1 -1 -1
*band 2 us
52 -1 -1 -1
52 -1 -1 -1
52 -1 -1 -1
52 -1 -1 -1
56 -1 -1 -1
56 -1 -1 -1
56 -1 -1 -1
56 -1 -1 -1
60 -1 -1 -1
60 -1 -1 -1
60 -1 -1 -1
60 -1 -1 -1
64 -1 -1 -1
64 -1 -1 -1
64 -1 -1 -1
64 -1 -1 -1
*band 3 us
100 -1 -1 -1
100 -1 -1 -1
100 -1 -1 -1
100 -1 -1 -1
104 -1 -1 -1
104 -1 -1 -1
104 -1 -1 -1
104 -1 -1 -1
108 -1 -1 -1
108 -1 -1 -1
108 -1 -1 -1
108 -1 -1 -1
112 -1 -1 -1
112 -1 -1 -1
112 -1 -1 -1
112 -1 -1 -1
116 -1 -1 -1
116 -1 -1 -1
116 -1 -1 -1
116 -1 -1 -1
132 -1 -1 -1
132 -1 -1 -1
132 -1 -1 -1
132 -1 -1 -1
136 -1 -1 -1
136 -1 -1 -1
140 -1 -1 -1
140 -1 -1 -1
140 -1 -1 -1
140 -1 -1 -1
*band 4 us
149 17 21 20
149 17 21 20
149 17 21 20
149 17 21 20
153 17 21 20
153 17 21 20
153 17 21 20
153 17 21 20
157 17 21 20
157 17 21 20
157 17 21 20
157 17 21 20
161 17 21 20
161 17 21 20
161 17 21 20
161 17 21 20
165 17 21 20
165 17 21 20
165 17 21 20
165 17 21 20
