*band 1 eu
36 14 13 14
36 12 12 12
36 12 12 12
36 12 12 12
40 14 13 14
40 12 12 12
40 12 12 12
40 12 12 12
44 14 13 14
44 12 12 12
44 12 12 12
44 12 12 12
48 14 13 14
48 12 12 12
48 12 12 12
48 12 12 12
*band 2 eu
52 12 12 12
52 11 11 11
52 11 11 11
52 11 11 11
56 12 12 12
56 11 11 11
56 11 11 11
56 11 11 11
60 12 12 12
60 11 11 11
60 11 11 11
60 11 11 11
64 12 12 12
64 11 11 11
64 11 11 11
64 11 11 11
*band 3 eu
100 19 19 19
100 15 16 16
100 15 16 16
100 15 16 16
104 19 19 19
104 15 16 16
104 15 16 16
104 15 16 16
108 19 19 19
108 15 16 16
108 15 16 16
108 15 16 16
112 19 19 19
112 15 16 16
112 15 16 16
112 15 16 16
116 19 19 19
116 15 16 16
116 15 16 16
116 15 16 16
132 19 19 19
132 15 16 16
132 15 16 16
132 15 16 16
136 19 19 19
136 15 16 16
136 15 16 16
136 15 16 16
140 19 19 19
140 15 16 16
140 15 16 16
140 15 16 16
