*band 1 jp
36 13 14 14
36 13 14 14
36 13 14 14
36 13 14 14
40 13 14 14
40 13 14 14
40 13 14 14
40 13 14 14
44 13 14 14
44 13 14 14
44 13 14 14
44 13 14 14
48 13 14 14
48 13 14 14
48 13 14 14
48 13 14 14
*band 2 jp
52 13 14 14
52 13 14 14
52 13 14 14
52 13 14 14
56 13 14 14
56 13 14 14
56 13 14 14
56 13 14 14
60 13 14 14
60 13 14 14
60 13 14 14
60 13 14 14
64 13 14 14
64 13 14 14
64 13 14 14
64 13 14 14
*band 3 jp
100 16 16 16
100 16 16 16
100 16 16 16
100 16 16 16
104 16 16 16
104 16 16 16
104 16 16 16
104 16 16 16
108 16 16 16
108 16 16 16
108 16 16 16
108 16 16 16
112 16 16 16
112 16 16 16
112 16 16 16
112 16 16 16
116 16 16 16
116 16 16 16
116 16 16 16
116 16 16 16
120 16 16 16
120 16 16 16
120 16 16 16
120 16 16 16
124 15 16 16
124 15 16 16
124 15 16 16
124 15 16 16
128 15 16 16
128 15 16 16
128 15 16 16
128 15 16 16
132 15 16 16
132 15 16 16
132 15 16 16
132 15 16 16
136 15 16 16
136 15 16 16
136 15 16 16
136 15 16 16
140 15 16 17
140 15 16 17
140 15 16 17
140 15 16 17
*band 4 jp
149 -1 -1 -1
149 -1 -1 -1
149 -1 -1 -1
149 -1 -1 -1
153 -1 -1 -1
153 -1 -1 -1
153 -1 -1 -1
153 -1 -1 -1
157 -1 -1 -1
157 -1 -1 -1
157 -1 -1 -1
157 -1 -1 -1
161 -1 -1 -1
161 -1 -1 -1
161 -1 -1 -1
161 -1 -1 -1
165 -1 -1 -1
165 -1 -1 -1
165 -1 -1 -1
165 -1 -1 -1
