*band 1 ru
36 11 10 11
36 9 9 9
36 9 9 9
36 9 9 9
40 11 10 11
40 9 9 9
40 9 9 9
40 9 9 9
44 11 10 11
44 9 9 9
44 9 9 9
44 9 9 9
48 11 10 11
48 9 9 9
48 9 9 9
48 9 9 9
*band 2 ru
52 -1 -1 -1
52 -1 -1 -1
52 -1 -1 -1
52 -1 -1 -1
56 -1 -1 -1
56 -1 -1 -1
56 -1 -1 -1
56 -1 -1 -1
60 -1 -1 -1
60 -1 -1 -1
60 -1 -1 -1
60 -1 -1 -1
64 -1 -1 -1
64 -1 -1 -1
64 -1 -1 -1
64 -1 -1 -1
*band 3 ru
100 -1 -1 -1
100 -1 -1 -1
100 -1 -1 -1
100 -1 -1 -1
104 -1 -1 -1
104 -1 -1 -1
104 -1 -1 -1
104 -1 -1 -1
108 -1 -1 -1
108 -1 -1 -1
108 -1 -1 -1
108 -1 -1 -1
112 -1 -1 -1
112 -1 -1 -1
112 -1 -1 -1
112 -1 -1 -1
116 -1 -1 -1
116 -1 -1 -1
116 -1 -1 -1
116 -1 -1 -1
132 -1 -1 -1
132 -1 -1 -1
132 -1 -1 -1
132 -1 -1 -1
136 -1 -1 -1
136 -1 -1 -1
136 -1 -1 -1
136 -1 -1 -1
140 -1 -1 -1
140 -1 -1 -1
140 -1 -1 -1
140 -1 -1 -1
