*band 1 us
36 14 15 20
36 14 16 22
36 14 16 22
36 14 16 22
40 14 15 21
40 14 16 22
40 14 16 22
40 14 16 22
44 14 23 21
44 14 22 21
44 14 22 21
44 14 22 21
48 14 23 21
48 14 22 22
48 14 22 22
48 14 22 22
*band 2 us
52 -1 -1 -1
52 -1 -1 -1
52 -1 -1 -1
52 -1 -1 -1
56 -1 -1 -1
56 -1 -1 -1
56 -1 -1 -1
56 -1 -1 -1
60 -1 -1 -1
60 -1 -1 -1
60 -1 -1 -1
60 -1 -1 -1
64 -1 -1 -1
64 -1 -1 -1
64 -1 -1 -1
64 -1 -1 -1
*band 3 us
100 -1 -1 -1
100 -1 -1 -1
100 -1 -1 -1
100 -1 -1 -1
104 -1 -1 -1
104 -1 -1 -1
104 -1 -1 -1
104 -1 -1 -1
108 -1 -1 -1
108 -1 -1 -1
108 -1 -1 -1
108 -1 -1 -1
112 -1 -1 -1
112 -1 -1 -1
112 -1 -1 -1
112 -1 -1 -1
116 -1 -1 -1
116 -1 -1 -1
116 -1 -1 -1
116 -1 -1 -1
132 -1 -1 -1
132 -1 -1 -1
132 -1 -1 -1
132 -1 -1 -1
136 -1 -1 -1
136 -1 -1 -1
136 -1 -1 -1
136 -1 -1 -1
140 -1 -1 -1
140 -1 -1 -1
140 -1 -1 -1
140 -1 -1 -1
*band 4 us
149 21 23 23
149 23 23 23
149 23 23 23
149 23 23 23
153 21 23 23
153 23 23 23
153 23 23 23
153 23 23 23
157 21 23 23
157 23 23 23
157 23 23 23
157 23 23 23
161 21 23 23
161 23 23 23
161 23 23 23
161 23 23 23
165 21 23 23
165 23 23 23
165 23 23 23
165 23 23 23
